,followers,genres,id,name,popularity
47,158177,"['classic soul', 'disco', 'motown', 'philly soul', 'quiet storm', 'soul']",187xgSpsFH8mMbAcoCW0zE,Billy Paul,57
48,96189,"['british comedy', 'comic']",5IxfhXIHjAOAqibxl90NZO,Monty Python,48
49,833723,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']",57ylwQTnFnIhJh4nu4rxCs,In Flames,67
50,255763,"['bubblegum dance', 'dance pop', 'eurodance', 'europop']",0cwmNvclzPd8mQnoHuIksj,Vengaboys,67
51,5756,['pop r&b'],05F7ymnYcv8JdwxtDnmFO0,Teenear,38
52,113385,"['norwegian pop', 'tropical house']",7hssUdpvtY5oiARaUDgFZ3,Ina Wroldsen,66
53,277,['christmas instrumental'],6eq5DdF14hc1mW6b1zEtHQ,Leyton Lake,51
54,3751,['soul blues'],47HxYwXgJsfyQN08FpXfxD,Selwyn Birchwood,27
55,274315,"['album rock', 'blues rock', 'classic rock', 'classic uk pop', 'glam rock', 'hard rock', 'rock']",3JaAGmSTpJK35DqWrDUzBz,Sweet,62
56,61928,"['ambient', 'art pop', 'bass music', 'chamber psych', 'chillwave', 'deconstructed club', 'dub techno', 'electronica', 'escape room', 'experimental pop', 'float house', 'fluxwork', 'fourth world', 'future garage', 'hauntology', 'intelligent dance music', 'microhouse', 'ninja', 'outsider house', 'wonky']",3bg5rmICvmA8dmYVAdKGYH,Actress,48
57,95992,"['folk', 'indie folk', 'lilith', 'new americana', 'progressive bluegrass', 'stomp and holler']",6nFBonVf7Lqaj05R0v5VGJ,Sarah Jarosz,55
58,239115,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']",39xmI59WrIMyyJjSDq6WCu,Crowder,59
59,8159489,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,81
60,2731,['acoustic chill'],6f14pLfPtDV6pJ6F9CAFwE,The Lidls,46
61,30411317,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,92
