,followers,genres,id,name,popularity
1004,692,"['drama', 'vintage radio show']",1gIvqYefHhQwZnvwiRXAGR,Forgotten Films,10
1005,16175,"['acid jazz', 'jazz funk', 'smooth jazz']",6LTnvdWwpOFwGtVIOrhwZb,Down To The Bone,36
1006,163538,"['eurodance', 'europop', 'italian disco', 'new romantic', 'new wave pop']",646StQO8yxIiI3niu1OHnG,Sandra,57
1007,14824,"['chillhop', 'lo-fi beats']",5pmXkV6A8yQdoa64xzvZ0S,Psalm Trees,62
1008,6961,['metalcore'],28ceTc4cU3Je3VId1kA99j,Isotopes,35
1009,6392,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'polish contemporary classical']",5Ks8fS8lZJnTFbtvxkDOkM,Witold Lutosławski,29
1010,18780,['indie folk'],3Dd1WVQvZUgyi9XEqOIPhA,Austin Basham,46
1011,178194,"['portland metal', 'sludge metal', 'stoner metal', 'stoner rock']",3u4HBuoQ4dgPBzX2Q9uf5S,Red Fang,46
1012,359280,"['pop', 'pop rap']",1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,73
1013,596,[],2gq9VADddWF3qZFFJadHfY,Gernot Bronsert,28
1014,2937,['movie tunes'],5Gejwv3xz2DpLcxVpMD6hL,Thurl Ravenscroft,64
1015,7285,"['background music', 'focus', 'relaxative']",2zhxw6A7BNmwZpgCJkjwRz,Enzo,48
1016,4187,[],71nmu8vx7OHvivVKv3dIRq,Tilt,24
1017,53,[],2sslUu9QRurhlSajeoLtRA,Ian Fairbairn,6
1018,89666,"['alternative emo', 'anthem emo', 'modern alternative rock', 'modern rock', 'pop punk', 'rock', 'uk pop punk']",4WjeQi9wm84lYTIWZ95QoM,Boston Manor,52
1019,2600924,"['dance pop', 'pop']",4npEfmQ6YuiwW1GpUmaq3F,Ava Max,85
1020,3322,['video game music'],02YBuMdu6EUu4UuktqpqQX,Ola Strandh,36
1021,34962,"['afro house', 'broken beat', 'chicago house', 'deep house', 'disco house', 'minimal tech house', 'vocal house']",4mHngi71hWNKTRuyl3W9FY,Osunlade,43
1022,184125,"['metalcore', 'pixie', 'pop emo', 'screamo']",7omnn7IRrrxdMwSwchVxNP,Eyes Set To Kill,44
1023,30,[],4u0PKP25tLjL78rwFAnHkJ,Robert Martin,8
1024,555,[],5MbgNNUvXoRBhhARwa0nPX,Sammy Walker,7
1025,17171,"['scorecore', 'soundtrack']",5L9DgM2FSb2Ny1vfxfyYU8,Jeff Russo,50
1026,176,[],6ixhu6XdTXY2x8UM5OitjC,Studio children's choir,11
1027,3655,['uk tech house'],10Bo1ofGMWr6hFD7OM7W7r,Deeper Purpose,43
1028,79042,"['chill r&b', 'pop']",00OF0nwYaoBSO3AnPVq3vE,Johnny Stimson,58
1029,147095,"['melodic hardcore', 'new jersey hardcore', 'new jersey punk', 'pop punk', 'punk', ""punk 'n' roll"", 'ska', 'ska punk', 'skate punk']",3mvTAjG7rcyk7DQzLwauzV,The Bouncing Souls,53
1030,33031,"['alternative dance', 'dance-punk', 'new rave']",4UTHeJ0TdH6zAEt5MoV02I,Delphic,28
1031,22496,"['deep tropical house', 'pop edm', 'scandipop']",1X6dfPmF8f5C5EW3WIGfvm,SJUR,46
1032,51668,"['idol', 'indiecoustica', 'neo mellow']",1KNNZV9twnpQBqyUoGvWA6,Lee DeWyze,43
1033,2714446,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2hlmm7s2ICUX0LVIhVFlZQ,Gunna,90
1034,5789,['afro house'],1YUlJfwsUoerJd3mCK6Ccu,Hyenah,32
1035,927,['kansas hip hop'],6qotp0EA1aHJPk6YnbVtGK,Broderick Jones,37
1036,290949,['k-pop'],1lHfzEkKmmvdVDDDLKkcsd,CIX,59
1037,624399,['reggae rock'],2WjvvwAX0mdWwq3aFuUdtc,Rebelution,65
1038,18,[],2A1jbcxHxyQkW1uukhPrFQ,Gyr,53
1039,294004,"['jam band', 'neo mellow', 'pop rock']",1Cq0LAHFfvUTBEtMPXUidI,O.A.R.,59
1040,9870,"['chillhop', 'lo-fi beats']",6M6LWvHKgBle8SUtSpq6SU,iamalex,59
1041,1226285,"['dance pop', 'edm', 'house', 'liquid funk', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",4WN5naL3ofxrVBgFpguzKo,Rudimental,74
1042,109061,"['charanga', 'latin jazz', 'salsa', 'salsa international', 'tropical']",09947uhj2ZwU9mFXK5v50o,Johnny Pacheco,53
1043,17015,['acid jazz'],5wCNzQ86Wfer6KdOxaPlQG,Galliano,35
1044,5153,"['british soul', 'uk pop']",054xTptvdBhGqiTOHvgUaQ,Charlotte Jane,41
1045,123426,"['hip hop', 'rap', 'underground hip hop']",7izarc0fRIPbdZ8cVyChRf,Spillage Village,62
1046,24,['chill out'],6KmgiX5k5l3j6fEfUMs1Kz,Jobarpopoulos,41
1047,586254,"['contemporary country', 'country', 'country road', 'country rock']",0svyIX7Xu3DVMkrOtB88i6,Diamond Rio,57
1048,54440,"['big room', 'deep big room', 'edm', 'electro house', 'gaming edm', 'pop edm', 'sky room']",2y8eOaQNjiIuITkz6zGfgL,Julian Calor,49
1049,5742451,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",50co4Is1HCEo8bhOyUWKpn,Young Thug,90
1050,127373,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",3MCjwjfIor5FkK3h639qkW,Rufus,52
1051,272437,"['chanson', 'french pop', 'french synthpop']",0e04xgVBPU6mE2QkSHlufD,Mylène Farmer,60
1052,4375,['nyc rap'],15ZjD8Gus20Miqw3fdOaXX,Stunna Gambino,44
1053,294373,"['alternative rock', 'pop rock']",1TqQi97nqeiuOJrIFv5Sw0,Semisonic,59
1054,431381,"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']",2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect,64
1055,12831,['chanson'],4pZgpCHvAI14ug9dSfxTjp,Mouloudji,49
1056,196729,"['art rock', 'berlin school', 'krautrock', 'progressive rock', 'symphonic rock']",1BGN1IdyiSR0ZYrkoKNchl,Tangerine Dream,52
1057,10380,"['portuguese metal', 'post-black metal', 'voidgaze']",1wXoI3Ajpv4WwQ3LmcrSBw,Gaerea,30
1058,177641,"['afrobeat', 'classic soul', 'funk', 'instrumental soul', 'jazz funk', 'new orleans funk', 'soul', 'soul jazz', 'southern soul']",2JRvXPGWiINrnJljNJhG5s,The Meters,57
1059,49098,['dreamo'],0e9H8oaYYRCKFXOVv848nt,Bad Books,45
1060,6120,['cabaret'],08vxGaKJwejhTncds9qgUB,Lotte Lenya,23
1061,5218,"['baroque pop', 'cincinnati indie']",0Kpf7PvEotzvndPhYwwZzb,The Ophelias,29
1062,219,[],6zNHFpUjOauZwyQFeBQ5q3,BoBo,23
1063,14458,['chill pop'],5gRGeLfkGBsUOv9aJieEey,MOSSS,46
1064,1092,['christian pop'],2ochL5YU5uC5AyXKZpOdoL,Charlie Rey,37
1065,22,[],1brHxXGIgbKvFinKaLvzSX,Kim Jones,49
1066,2022,[],1g086QeJJCdi3HfyfpU22A,Monumental Men,30
1067,371640,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",0G7OYsWptjRzVFT1AxP8TS,Levert,46
