,followers,genres,id,name,popularity
55,326173,"['alternative country', 'country rock', 'folk', 'folk rock', 'indie folk', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter', 'traditional folk']",0nJUwPwC9Ti4vvuJ0q3MfT,John Prine,66
56,146838,"['afrofuturism', 'alternative r&b', 'escape room', 'indie r&b', 'indie soul']",4UodukR17NIQfNu5uaqm9B,Jamila Woods,57
57,78,[],5phmOQdhQEBnfAev0uSbX6,Albin Urías,49
58,54038,"['bubblegum dance', 'eurodance', 'europop']",0NeC6ploeJUq8oDwYQjNPS,Bomfunk MC's,55
59,3267909,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",0rvjqX7ttXeg3mTy8Xscbt,Journey,75
60,10724,"['classic soundtrack', 'polish contemporary classical', 'soundtrack']",6McH9ZlRL24gW6Bt4fpqad,Wojciech Kilar,40
61,105,['nu age'],2eon76yvwyZ0Sn55Gxyie1,Josh Varnedore,2
62,7645,"['alternative emo', 'anthem emo']",5ccLp1eIj7ufwLUpVLmSFl,Crucial Dudes,27
63,48440,['disco'],0bShb58TO0fM5jOjXhB1WT,Van McCoy,37
64,357108,"['canadian americana', 'canadian contemporary country', 'new americana', 'outlaw country', 'saskatchewan indie']",3xYXYzm9H3RzyQgBrYwIcx,Colter Wall,67
65,616,"['hauntology', 'theme']",4Nh3NT4pSM3T8KNbxOPJmO,Ray Cathode,13
66,427,[],1vcOuDPHCPdqlPY0TBw4vB,Samoaja,18
67,166328,"['art pop', 'chillwave', 'collage pop', 'dream pop', 'experimental pop', 'freak folk', 'garage psych', 'indie rock', 'noise pop', 'nu gaze']",1R84VlXnFFULOsWWV8IrCQ,Panda Bear,52
68,137,[],1t1rMC6q9P8iO5aADDx8t9,Emil Tabakov,26
69,594,['reading'],6BsAGrET0hgt9jFafbP4Om,Mary Shelley,28
70,8452,[],0tYrHjgdca0ZLPkR4P0eW4,Raffaella,40
71,132,[],6vqF2cU8qDVTogjAlCtBoA,Chabin,14
72,678207,['korean r&b'],6udveWUgX4vu75FF0DTrXV,TAEYANG,60
73,83530,"['art rock', 'canterbury scene', 'experimental', 'jazz fusion', 'jazz rock', 'progressive rock', 'psychedelic rock', 'space rock', 'symphonic rock', 'zolo']",5A0MH7JfEBEMySevsmauds,Soft Machine,40
74,1664,['melodipop'],1MsFOjiTLxGO1tk61A4Uut,Esther Vallee,20
75,13512,"['blackened deathcore', 'danish hardcore', 'danish metal', 'deathcore', 'progressive deathcore']",2bfK6ltXa60B2egnErJvlO,CABAL,35
76,31,[],6FVDjERbUK3UMQuuKPAWwL,Danny Tanners,52
77,5612,"['glitchcore', 'hyperpop']",2GUw9Wzha61PkZoRVv1PDD,aldn,43
78,14271,['uk dance'],3jNm5wvIx1eR5NDdXhMkNV,Duke & Jones,55
79,569485,"['electropop', 'indie pop rap', 'pop', 'pop rap']",3ApUX1o6oSz321MMECyIYd,Quinn XCII,76
80,46577,"['classic uk pop', 'folk', 'lilith']",1BwHztAQKypBuy5WBEdJnG,Jennifer Warnes,65
81,56,"['latin american baroque', 'mexican classical']",3OASqyuT3uKhAehy3Ei0j7,Juan Garcia de Zespedes,18
82,199307,['nova mpb'],6a9WLQ5NsIV7U2qB16uFWD,Ana Gabriela,65
83,60566,"['italian hip hop', 'trap italiana']",3ASAxVN1hNoYfoMcIkzZWL,VillaBanks,63
84,42,[],2waZtHlhD0EjlIQl5Kpbmo,Johnny Christoff,31
85,67002,"['swedish gangsta rap', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",2yMJGKSRgxIniMnq30FAzX,Ken Ring,49
86,310621,"['k-pop', 'korean pop']",2YXlVLKq3X3soXd2aXUtIT,Jamie,60
87,492139,"['funk', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",4MT97VeycuegSicrrphisJ,Mint Condition,51
88,73,[],7ctSAP93mjdDwHpAN5IHwF,David Augustin,3
89,677355,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",41Q0HrwWBtuUkJc7C1Rp6K,311,64
90,14086,"['south african alternative', 'south african pop']",2nrShcJFP8D5bQT8RgdBhH,Nakhane,35
91,12692,"['art pop', 'deconstructed club', 'electra', 'escape room', 'fluxwork']",7jHWye55igIZ6SsF4eXKkP,Lafawndah,30
92,234,[],63zifEaDmILf5PAGyW0piG,MADVILLA,26
93,5043288,"['desi pop', 'filmi', 'modern bollywood', 'punjabi pop']",2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,70
94,8937,"['comedy', 'deep comedy', 'new comedy']",6WykS91bn7CcqhsnUsoWuX,Big Jay Oakerson,37
95,2553426,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",1sDVuztNhGcetCLChkleDA,Michel Teló,62
96,1035,[],55Rf9Kfqd30nmqaeEDMpic,Mark Dinning,22
97,241,[],1D6hGUU5QVL6WiH6h6L8E1,Palma Players,26
98,98078,"['brutal death metal', 'canadian metal', 'death metal', 'groove metal', 'melodic death metal', 'metal', 'quebec death metal', 'technical melodic death metal']",7kozeGeawfP7IEEL6dddrM,Kataklysm,46
99,7611,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",2G5cWvHkX9WSrGv6OnmpWD,Stephen Duffy,32
100,404,[],1CaKIOAgM8I69kpfHrAUGu,Pavlov,25
101,122477,"['bass house', 'tekk']",5EDztvTkyoKtK0ZdEdhOFx,Macky Gee,61
